timestamp,accX,accY,accZ,geoX,geoY,geoZ,label
1.59244E+12,-2.3214316,1.083869,-1.1334947,-5.478869,1.052802,-1.651674,0
1.59244E+12,-2.2502851,0.9446904,-1.0326442,-4.473631,0.522467,-3.431894,0
1.59244E+12,-1.6715324,0.9904445,-0.84819067,-3.776467,1.277728,-4.626347,0
1.59244E+12,-1.3380787,0.8124589,-1.09876,-2.627852,1.993014,-5.691281,0
1.59244E+12,-1.1488342,0.64381564,-1.2106298,-0.817251,2.279235,-5.723794,0
1.59244E+12,-1.1488342,0.64381564,-1.2106298,0.814795,1.4370949,-5.422116,0
1.59244E+12,-1.0738552,0.5798558,-1.1521796,1.259317,1.4413589,-5.139626,0
1.59244E+12,-0.7710639,0.4648718,-1.1033114,1.594041,2.111873,-4.762795,0
1.59244E+12,-0.47761518,0.41336855,-0.99120206,2.551842,2.656599,-4.469112,0
1.59244E+12,-0.35113275,0.2305919,-0.5671986,2.6158018,2.806905,-3.637632,0
1.59244E+12,-0.27160215,0.20184591,-0.5657612,2.278946,3.234371,-2.996433,0
1.59244E+12,-0.12188341,0.14650986,-0.19901021,2.105188,3.856382,-2.048226,0
1.59244E+12,0.0184929,-0.036506347,-0.060550302,1.808307,3.5541708,-1.069105,0
1.59244E+12,0.11910389,0.04158695,-0.18272081,1.026929,4.178847,-0.082522,0
1.59244E+12,0.0146601,-0.051837552,0.43076676,1.6569351,3.329778,0.744694,0
1.59244E+12,-0.07612935,-0.0103954,0.036707,0.878222,3.170944,1.271298,0
1.59244E+12,-0.4677936,0.1012349,0.2053502,1.03599,2.30855,2.022295,0
1.59244E+12,-0.01815825,-0.091363296,0.48442593,1.430943,2.665127,1.755262,0
1.59244E+12,-0.22776452,-0.0860932,0.80422515,1.301957,2.217407,2.192322,0
1.59244E+12,-0.2133915,0.35755342,-0.16954556,-1.4099469,3.6922178,1.960467,0
1.59244E+12,-0.8115479,0.66154236,0.15097235,-0.11529,1.6007259,3.754545,0
1.59244E+12,-0.3312501,0.4265438,0.050600898,-0.77727604,2.2286,2.630981,0
1.59244E+12,-1.2860963,0.99787056,0.0328742,-0.994207,1.6924019,3.85315,0
1.59244E+12,-1.4897139,1.1260297,0.25829074,-1.077888,1.143412,4.678767,0
1.59244E+12,-1.9760004,1.4041474,0.06617165,-2.3219101,1.618315,4.898363,0
1.59244E+12,-2.2682514,1.5392535,-0.056957047,-3.944895,1.9535719,4.8940988,0
1.59244E+12,-2.6072147,1.5909964,-0.241171,-4.7737103,2.3021538,4.196402,0
1.59244E+12,-2.6484172,1.4772102,-0.00281875,-4.632998,0.584828,3.569594,0
1.59244E+12,-2.6625507,1.6017761,-0.1942192,-5.7762833,1.1263559,2.069199,0
1.59244E+12,-2.8517952,1.1957389,-0.7523707,-6.506493,1.103437,-1.069105,0
1.59244E+12,-2.754538,1.4700236,-0.6637372,-6.390299,0.28634802,1.198277,0
1.59244E+12,-2.4083881,1.3286891,-0.88053,-6.221871,2.149183,-3.609916,0
1.59244E+12,-1.927851,1.4029496,-1.0776796,-4.855792,3.5504398,-5.363486,0
1.59244E+12,-1.573796,1.2034044,-1.0872616,-2.722193,2.496166,-6.2472,0
1.59244E+12,-0.93683255,0.7298141,-1.3584322,0.135753,1.589533,-5.769099,0
1.59244E+12,-1.2595063,0.88959396,-1.189789,-0.697859,1.959968,-6.123011,0
1.59244E+12,-0.7439948,0.5317062,-1.3186669,0.885684,2.143853,-5.235033,0
1.59244E+12,-0.45126468,0.7547273,-1.300461,1.347262,3.0281,-5.141758,0
1.59244E+12,-0.48001066,0.54488146,-0.622295,2.540649,3.5872169,-3.288517,0
1.59244E+12,-0.42683053,0.5321854,-0.42825955,2.28321,3.644248,-2.628663,0
1.59244E+12,-0.26824844,0.4318139,-0.3666952,1.905846,3.960317,-1.794518,0
1.59244E+12,-0.15757635,0.27395046,-0.16499409,1.929831,4.684664,-0.887352,0
1.59244E+12,-0.2847774,0.3388685,0.06856715,1.929298,4.467733,0.046997,0
1.59244E+12,-0.30250412,0.22771731,0.3701606,1.09462,4.81365,1.834679,0
1.59244E+12,0.026398052,0.1951385,0.1746878,1.709169,4.841899,0.63329697,0
1.59244E+12,-0.52744156,0.3374312,0.34117505,0.47580698,3.233305,2.838318,0
1.59244E+12,-0.22824359,0.0720098,0.5023922,0.29085597,2.807971,3.711905,0
1.59244E+12,-1.1512297,0.51110494,0.2700287,-0.63763,1.08265,3.905917,0
1.59244E+12,-0.7250703,0.3225791,0.6830129,0.869161,0.083808005,3.928303,0
1.59244E+12,-1.1435641,0.7324492,0.3600995,-1.415277,2.13266,3.84249,0
1.59244E+12,-0.826879,0.9600217,0.03982115,-2.6971421,2.536141,3.68259,0
1.59244E+12,-1.4933071,1.1023144,-0.02869015,-3.765274,2.289362,4.353104,0
1.59244E+12,-1.3553264,1.4812825,-0.13984135,-3.2535942,1.560751,3.660204,0
1.59244E+12,-2.25843,1.688014,-0.4926985,-5.6760793,2.609695,3.80518,0
1.59244E+12,-1.9439007,1.9575078,-0.44981903,-5.153739,0.635463,2.610727,0
1.59244E+12,-2.4620473,1.8719885,-0.6249301,-6.481975,1.9461099,2.202982,0
1.59244E+12,-2.3801212,1.8537827,-0.95982105,-6.613093,0.694093,0.520301,0
1.59244E+12,-2.504927,1.6595075,-1.271715,-6.651469,1.244682,-0.490267,0
1.59244E+12,-2.2613044,1.4386426,-1.3462151,-5.662221,1.735042,-2.523129,0
1.59244E+12,-2.0387626,1.3318032,-1.5994195,-4.937341,3.154954,-4.096012,0
1.59244E+12,-1.4619261,1.5878823,-1.3090849,-2.9417892,4.878143,-5.649174,0
1.59244E+12,-0.8355028,1.3528836,-1.3201042,-0.049731,5.612617,-6.813779,0
1.59244E+12,-0.6903356,1.0029011,-1.3538808,2.168082,3.5797548,-5.304323,0
1.59244E+12,-0.608649,0.97271776,-1.5352201,2.925475,1.5831369,-4.397157,0
1.59244E+12,-0.33819705,0.9868512,-1.5196493,3.121086,2.343195,-3.930249,0
1.59244E+12,-0.065589145,0.8455168,-1.1416395,3.287382,4.070115,-3.2091,0
1.59244E+12,-0.05648625,0.7020263,-0.5185699,3.6540859,3.206122,-1.06644,0
1.59244E+12,0.02687715,0.799044,-0.8371714,3.9301798,3.800417,-2.067414,0
1.59244E+12,-0.10487535,0.44211453,-0.3532804,3.099766,3.509932,-0.023891998,0
1.59244E+12,-0.1257162,0.3321611,-0.2335054,2.200062,4.146867,0.669008,0
1.59244E+12,-0.11685286,0.2569424,-0.11444905,1.70224,4.097831,1.171094,0
1.59244E+12,-0.17266801,0.2152607,0.0117938,1.2252051,4.0877037,1.698231,0
1.59244E+12,-0.29388028,0.2497559,0.23577304,0.576011,2.8463469,3.332942,0
1.59244E+12,-0.18440595,0.29455176,0.07239995,0.41877598,3.7790968,2.443365,0
1.59244E+12,-0.76603335,0.5216452,0.2302634,-0.017750999,2.260047,3.684722,0
1.59244E+12,-0.2838192,0.3527624,0.261884,-0.607782,2.512156,3.776398,0
1.59244E+12,-1.1054757,0.8134171,0.00867965,-1.973328,2.682716,4.064751,0
1.59244E+12,-0.93347883,0.7255022,0.14330675,-1.484034,0.833206,3.692184,0
1.59244E+12,-1.4228795,1.049853,-0.14990245,-3.2818432,1.844307,4.255565,0
1.59244E+12,-1.1989002,1.2793418,-0.2737498,-3.989134,1.7003969,3.01101,0
1.59244E+12,-1.9867802,1.9975126,-0.47952324,-4.9181533,0.211195,2.465751,0
1.59244E+12,-1.8729938,1.577342,-0.5049156,-4.753989,0.747393,3.577056,0
1.59244E+12,-2.1834507,2.2207732,-0.85705405,-6.422812,-0.074493,1.557519,0
1.59244E+12,-2.6845894,2.1364517,-1.0580366,-6.600834,0.308734,1.08688,0
1.59244E+12,-2.2529202,2.085188,-1.154096,-6.509691,-0.003071,-0.747706,0
1.59244E+12,-2.278552,1.9896076,-1.4192779,-6.541138,1.873089,-2.097795,0
1.59244E+12,-1.998039,1.8394096,-1.5476767,-5.425569,1.9919479,-3.931315,0
1.59244E+12,-1.7079439,1.7706589,-1.5002458,-3.937433,4.636694,-5.288866,0
1.59244E+12,-1.0257056,1.7220303,-1.5040786,-1.702564,5.69843,-6.650681,0
1.59244E+12,-0.60457665,1.4465477,-1.5433648,1.1745701,3.982703,-6.248266,0
1.59244E+12,-0.3810765,1.0706937,-1.5637265,2.598213,2.04205,-5.244094,0
1.59244E+12,-0.25147995,0.72957456,-1.5186912,3.520303,2.279235,-4.194084,0
1.59244E+12,-0.11972745,0.942774,-1.4343696,3.387053,3.016907,-3.914792,0
1.59244E+12,-0.07708755,0.68094593,-0.58923715,3.3470778,3.612268,-1.836092,0
1.59244E+12,-0.10439625,0.6838205,-0.70805395,4.1972127,2.661929,-2.938869,0
1.59244E+12,-0.11014545,0.42247143,-0.41532382,3.029943,3.094192,-0.927327,0
1.59244E+12,-0.0040248,0.29407266,-0.19565651,1.996989,3.154954,0.34760898,0
1.59244E+12,-0.079243496,0.3278492,-0.14750695,2.941465,3.0590138,-0.127294,0
1.59244E+12,-0.0715779,0.2847302,-0.13409215,1.37178,3.83826,1.308075,0
1.59244E+12,-0.21027735,0.24232987,-0.0274924,1.38777,3.107517,2.165672,0
1.59244E+12,-0.37125495,0.14028154,0.20511064,1.7704641,1.8586979,2.97903,0
1.59244E+12,-0.5734352,0.0787172,0.28751585,1.2252051,1.711057,3.158118,0
1.59244E+12,-0.1942275,0.36210483,0.3217715,0.347354,3.619197,2.924664,0
