timestamp,accX,accY,accZ,geoX,geoY,geoZ,label
1.59E+12,-1.0575657,1.9474468,0.43220407,-3.1260583,1.9844557,5.7144594,0
1.59E+12,-1.5268441,2.26509,0.42645484,-4.182464,2.0468166,5.2582116,0
1.59E+12,-1.8411337,2.617468,0.19121675,-6.0202484,3.8440926,3.9502296,0
1.59E+12,-2.118772,2.6375902,0.43028766,-5.8305,3.6506135,2.6811566,0
1.59E+12,-2.153507,2.614354,-0.25027388,-6.764316,4.1692224,0.34128657,0
1.59E+12,-2.2447755,2.530272,0.12414275,-6.5900254,5.4745398,-1.5503304,0
1.59E+12,-2.3880265,2.6656175,-0.34393793,-3.1633682,6.9274974,-5.116101,0
1.59E+12,-2.2984347,2.42487,-0.89442384,-0.30915332,5.5043874,-6.5488048,0
1.59E+12,-1.8885647,2.3254566,-1.1929032,1.4939857,3.0840344,-6.6500745,0
1.59E+12,-1.4034759,2.171905,-1.5606124,2.2673688,1.7915096,-6.6367497,0
1.59E+12,-0.84268934,2.0051782,-2.005936,3.9441867,2.8468494,-5.9342556,0
1.59E+12,-0.5650509,2.013323,-2.306571,5.040035,3.8350315,-4.8341436,0
1.59E+12,-0.2574687,1.8559387,-1.585286,4.5448775,1.9274247,-3.4350183,0
1.59E+12,-0.00474345,1.824797,-0.78447044,4.252794,2.0116386,-2.0657413,0
1.59E+12,0.01346235,1.5955478,-0.5820507,4.53635,1.3491197,-1.1223315,0
1.59E+12,-0.03348945,1.2431698,-0.3911293,4.0049486,2.7439806,-1.0754274,0
1.59E+12,-0.15853456,0.93942034,-0.08378665,4.0710406,2.7514424,0.60938555,0
1.59E+12,0.15910874,0.9621776,0.04365395,3.5940056,2.7823565,1.5650545,0
1.59E+12,0.18114735,0.6823832,0.32584387,3.2267687,3.0397956,2.2957976,0
1.59E+12,-0.22560854,0.7185553,0.4976012,1.7274396,4.2720914,2.7691016,0
1.59E+12,-0.0452274,0.57003427,0.56204015,2.1932817,2.3762105,3.8878686,0
1.59E+12,-0.1146969,0.9276824,0.44801435,0.9226097,3.3745196,4.3505125,0
1.59E+12,-0.5343885,1.0853063,0.6631302,-0.17323832,3.3761184,4.6377993,0
1.59E+12,-0.6639851,1.2050812,0.69714636,-1.8878993,2.8580425,5.1404185,0
1.59E+12,-0.8208903,1.7570045,0.592463,-3.0077324,2.5451715,5.7251196,0
1.59E+12,-1.0264242,2.1263907,0.5411993,-4.013503,2.0201666,5.8221254,0
1.59E+12,-1.7534584,2.731494,0.2939837,-5.412095,3.5328205,4.823283,0
1.59E+12,-2.342033,2.766708,0.4496912,-6.8149514,4.3786917,1.3902305,0
1.59E+12,-2.704472,2.7398782,0.052756853,-6.830941,3.5115006,-0.78707445,0
1.59E+12,-3.0527778,2.8546226,-0.28740415,-6.5681725,4.0562267,-3.7228384,0
